event_id,team_id,team,ha,opponent,opp_id,team_score,opp_score,team_pen,team_pen_yds,opp_pen,opp_pen_yds,margin,one_score,line_details,spread,over_under,our_ml,opp_ml
400868997,333,Alabama,away,MISS,145,48,43,9,75,6,65,5,True,ALA -9.5,9.5,,,
400869002,333,Alabama,home,KENT,2309,48,0,2,20,0,0,48,False,ALA -41.5,-41.5,,,
400869010,333,Alabama,home,UK,96,34,6,4,20,2,15,28,False,ALA -32.5,-32.5,,,
400869018,333,Alabama,away,ARK,8,49,30,7,86,6,60,19,False,ALA -13,13.0,,,
400869028,333,Alabama,away,TENN,2633,49,10,5,38,1,10,39,False,ALA -9,9.0,,,
400869029,333,Alabama,home,TA&M,245,33,14,7,44,9,81,19,False,ALA -16.5,-16.5,,,
400869044,333,Alabama,away,LSU,99,10,0,6,29,3,20,10,False,ALA -7,7.0,,,
400869049,333,Alabama,home,MSST,344,51,3,3,35,4,31,48,False,ALA -28.5,-28.5,,,
400869056,333,Alabama,home,CHAT,236,31,3,1,10,2,10,28,False,ALA -48.5,-48.5,,,
400869068,333,Alabama,home,AUB,2,30,12,4,28,4,19,18,False,ALA -20,-20.0,,,
400926943,333,Alabama,away,FLA,57,54,16,2,14,7,53,38,False,ALA -21.5,21.5,,,
400876107,333,Alabama,home,WASH,264,24,7,11,66,3,10,17,False,ALA -14,-14.0,,,
400876570,333,Alabama,home,CLEM,228,31,35,9,82,3,35,-4,True,ALA -6,-6.0,,,
400876570,228,Clemson,away,ALA,333,35,31,3,35,9,82,4,True,ALA -6,-6.0,,,
400933827,333,Alabama,home,FSU,52,24,7,5,30,4,30,17,False,ALA -7.5,-7.5,51.0,-325,264
400933841,333,Alabama,home,FRES,278,41,10,4,30,1,6,31,False,ALA -42.5,-42.5,54.0,,
400933854,333,Alabama,home,CSU,36,41,23,4,45,3,14,18,False,ALA -31,-31.0,55.5,,
400933871,333,Alabama,away,VAN,238,59,0,6,40,5,20,59,False,ALA -20,20.0,42.5,-1660,956
400933872,333,Alabama,home,MISS,145,66,3,7,60,3,30,63,False,ALA -30,-30.0,56.0,,
400933884,333,Alabama,away,TA&M,245,27,19,6,50,6,45,8,True,ALA -26.5,26.5,56.5,-5000,1650
400933886,333,Alabama,home,ARK,8,41,9,6,66,5,25,32,False,ALA -37,-37.0,54.5,,
400933893,333,Alabama,home,TENN,2633,45,7,7,56,9,81,38,False,ALA -36.5,-36.5,51.5,,
400933904,333,Alabama,home,LSU,99,24,10,1,11,5,30,14,False,ALA -20.5,-20.5,45.5,-1390,818
400933916,333,Alabama,away,MSST,344,31,24,6,60,4,30,7,True,ALA -14.5,14.5,50.0,-721,515
400933921,333,Alabama,home,MER,2382,56,0,1,5,2,10,56,False,ALA -49,-49.0,,,
400933932,333,Alabama,away,AUB,2,14,26,9,65,4,40,-12,False,ALA -5,5.0,47.5,-212,179
400953413,228,Clemson,home,ALA,333,6,24,4,29,2,10,-18,False,ALA -3.5,3.5,46.5,156,-180
400953413,333,Alabama,away,CLEM,228,24,6,2,10,4,29,18,False,ALA -3.5,3.5,46.5,-180,156
400953415,61,Georgia,home,ALA,333,23,26,6,65,6,41,-3,True,ALA -3.5,3.5,45.5,157,-179
400953415,333,Alabama,away,UGA,61,26,23,6,41,6,65,3,True,ALA -3.5,3.5,45.5,-179,157
401012246,333,Alabama,home,LOU,97,51,14,10,111,11,93,37,False,ALA -24,-24.0,62.0,-2837,1267
401012260,333,Alabama,home,ARKST,2032,57,7,4,35,10,84,50,False,ALA -37,-37.0,63.0,,
401012277,333,Alabama,away,MISS,145,62,7,8,60,8,67,55,False,ALA -22.5,22.5,71.5,-2643,1136
401012284,333,Alabama,home,TA&M,245,45,23,9,82,4,50,22,False,ALA -24.5,-24.5,59.0,-2185,1150
401012292,333,Alabama,home,ULL,309,56,14,3,15,4,30,42,False,ALA -49,-49.0,69.0,,
401012300,333,Alabama,away,ARK,8,65,31,5,31,2,20,34,False,ALA -35,35.0,59.0,,
401012307,333,Alabama,home,MIZ,142,39,10,5,60,5,53,29,False,ALA -28.5,-28.5,73.5,-5831,1800
401012318,333,Alabama,away,TENN,2633,58,21,5,36,9,59,37,False,ALA -29,29.0,58.0,-6993,2000
401012327,333,Alabama,away,LSU,99,29,0,6,60,3,15,29,False,,,,-603,443
401012331,333,Alabama,home,MSST,344,24,0,0,0,7,50,24,False,ALA -22.5,-22.5,50.5,-1983,1013
401012338,333,Alabama,home,CIT,2643,50,17,6,68,6,50,33,False,ALA -54.5,-54.5,62.5,,
401012350,333,Alabama,home,AUB,2,52,21,8,82,9,88,31,False,ALA -26.5,-26.5,53.0,-4866,1488
401056705,61,Georgia,home,ALA,333,28,35,6,50,3,10,-7,True,ALA -12,12.0,63.0,462,-553
401056705,333,Alabama,away,UGA,61,35,28,3,10,6,50,7,True,ALA -12,12.0,63.0,-553,462
401032078,333,Alabama,home,OKLA,201,45,34,9,86,7,55,11,False,ALA -14.5,-14.5,80.5,-610,440
401032087,333,Alabama,home,CLEM,228,16,44,6,60,1,12,-28,False,ALA -5.5,-5.5,56.5,-235,185
401032087,228,Clemson,away,ALA,333,44,16,1,12,6,60,28,False,ALA -5.5,-5.5,56.5,185,-235
401110720,333,Alabama,home,DUKE,150,42,3,8,88,8,52,39,False,ALA -34.5,-34.5,57.0,-5000,1550
