event_id,season,team,ha,margin,one_score,our_score,opp_score,off3conv,off3att,def3conv,def3att,sacks_taken,sacks_forced,spread,line_details,comp_att
401403895,2022,Georgia,home,17,False,39,22,7,12,3,11,1,3,-45.0,UGA -45,27/36
401403907,2022,Georgia,away,4,True,26,22,4,13,3,13,2,2,30.5,UGA -30.5,24/43
401403911,2022,Georgia,home,32,False,42,10,6,14,5,17,1,0,-28.0,UGA -28,22/32
401403918,2022,Georgia,home,55,False,55,0,8,13,5,13,2,1,-37.5,UGA -37.5,32/41
401403928,2022,Georgia,home,22,False,42,20,6,12,4,16,0,3,-23.0,UGA -23,19/38
401403933,2022,Georgia,home,14,False,27,13,7,12,2,14,0,6,-10.0,UGA -10,17/25
401403944,2022,Georgia,away,26,False,45,19,6,13,3,14,0,1,16.5,UGA -16.5,25/37
401403949,2022,Georgia,away,10,False,16,6,6,12,3,11,0,1,22.5,UGA -22.5,13/19
401403959,2022,Georgia,home,23,False,37,14,6,13,3,13,0,4,-36.5,UGA -36.5,11/20
401437036,2022,Georgia,home,20,False,50,30,7,13,4,13,0,4,-17.5,UGA -17.5,23/29
401442010,2022,Georgia,home,58,False,65,7,9,13,2,11,0,5,-13.5,UGA -13.5,20/28
401520154,2023,Georgia,home,41,False,48,7,6,13,2,14,0,1,,,26/40
401520191,2023,Georgia,home,42,False,45,3,6,12,4,15,1,0,,,24/33
401520225,2023,Georgia,home,10,False,24,14,5,13,5,13,2,3,,,27/35
401520252,2023,Georgia,home,28,False,49,21,10,13,4,15,1,1,,,28/40
401520280,2023,Georgia,away,7,True,27,20,8,13,2,12,0,3,,,23/33
401520300,2023,Georgia,home,38,False,51,13,5,11,2,11,0,3,,,33/42
401520327,2023,Georgia,away,17,False,37,20,11,16,2,9,2,1,,,29/39
401520352,2023,Georgia,away,23,False,43,20,6,12,4,11,0,4,,,19/28
401520364,2023,Georgia,home,9,False,30,21,6,13,5,13,3,3,,,21/32
401520382,2023,Georgia,home,35,False,52,17,5,8,6,15,0,2,,,19/26
401520419,2023,Georgia,away,28,False,38,10,9,13,2,11,1,1,,,25/31
401520430,2023,Georgia,away,8,True,31,23,4,8,2,11,0,2,,,13/20
401551773,2023,Georgia,away,60,False,63,3,5,9,2,12,1,1,,,20/29
401628323,2024,Clemson,away,-31,False,3,34,4,13,4,11,2,1,,,18/29
401628339,2024,Georgia,home,45,False,48,3,4,9,3,12,1,3,,,28/37
401628354,2024,Georgia,away,1,True,13,12,5,13,9,16,0,3,,,15/24
401628381,2024,Georgia,home,18,False,31,13,7,13,4,13,2,3,,,23/29
401628386,2024,Georgia,home,10,False,41,31,5,11,2,12,0,0,,,36/48
401628398,2024,Georgia,away,15,False,30,15,6,17,2,15,1,7,,,23/41
401628408,2024,Georgia,home,14,False,34,20,4,11,3,16,2,2,,,25/40
401628414,2024,Georgia,away,-18,False,10,28,6,14,4,13,5,1,,,20/31
401628421,2024,Georgia,home,14,False,31,17,8,14,10,18,0,4,,,25/40
401628430,2024,Georgia,home,38,False,59,21,4,9,3,11,0,1,,,23/35
401628439,2024,Georgia,home,2,True,44,42,6,12,7,15,2,1,,,28/43
401673469,2024,Georgia,away,3,True,22,19,5,15,6,18,3,6,,,20/30
401677184,2024,Georgia,home,-13,False,10,23,2,12,4,14,4,1,,,20/32
401752669,2025,Georgia,home,38,False,45,7,6,16,3,15,0,0,,,19/32
401752685,2025,Georgia,home,22,False,28,6,7,13,3,13,0,2,,,27/36
401752705,2025,Georgia,away,3,True,44,41,8,17,5,12,4,1,,,23/32
401752728,2025,Georgia,home,21,False,35,14,9,12,3,11,0,2,,,18/27
401752731,2025,Georgia,away,10,False,20,10,5,14,8,17,2,1,,,24/38
401752742,2025,Georgia,home,8,True,43,35,6,11,5,9,1,0,,,26/31
401752755,2025,Georgia,away,4,True,24,20,7,15,2,11,2,0,,,20/29
401752762,2025,Georgia,away,20,False,41,21,7,12,8,16,0,3,,,18/30
401752766,2025,Georgia,home,25,False,35,10,4,11,2,12,2,2,,,24/29
401752776,2025,Georgia,home,32,False,35,3,4,10,1,11,2,2,,,25/33
401752786,2025,Georgia,away,7,True,16,9,6,14,4,11,2,1,16.5,UGA -16.5,11/21
401769073,2025,Georgia,home,-5,True,34,39,3,13,5,14,2,0,-6.0,UGA -6,19/33
400868971,2016,Clemson,away,6,True,19,13,6,17,3,17,0,3,7.5,CLEM -7.5,19/34
400869430,2016,Clemson,home,6,True,30,24,8,20,2,15,1,1,-34.0,CLEM -34,27/53
400869438,2016,Clemson,home,59,False,59,0,8,14,3,13,1,5,-54.0,CLEM -54,27/35
400869446,2016,Clemson,away,19,False,26,7,10,18,2,12,1,3,11.0,CLEM -11,32/48
400869453,2016,Clemson,home,6,True,42,36,4,9,9,19,0,5,-3.5,CLEM -3.5,20/31
400869457,2016,Clemson,away,46,False,56,10,6,12,6,19,2,3,17.0,CLEM -17,16/26
400869462,2016,Clemson,home,7,True,24,17,10,17,7,15,2,4,-17.0,CLEM -17,39/52
400869473,2016,Clemson,away,3,True,37,34,7,17,4,12,4,6,3.0,CLEM -3,27/43
400869477,2016,Clemson,home,54,False,54,0,8,15,5,16,0,2,-28.0,CLEM -28,27/40
400869485,2016,Clemson,home,-1,True,42,43,12,18,3,12,2,2,-19.0,CLEM -19,52/70
400869491,2016,Clemson,away,22,False,35,13,7,15,2,15,0,4,23.5,CLEM -23.5,23/33
400869074,2016,Clemson,home,49,False,56,7,10,15,4,13,1,3,-24.5,CLEM -24.5,30/36
400926944,2016,Clemson,away,7,True,42,35,6,11,7,15,0,4,8.5,CLEM -8.5,23/34
400937447,2017,Clemson,home,53,False,56,3,5,10,4,16,0,0,-38.0,CLEM -38,25/35
400933843,2017,Clemson,home,8,True,14,6,9,16,6,18,3,11,-6.0,CLEM -6,20/31
400937461,2017,Clemson,away,26,False,47,21,9,17,5,16,4,4,3.0,CLEM -3,23/33
400937470,2017,Clemson,home,27,False,34,7,8,16,4,16,2,1,-33.5,CLEM -33.5,17/26
400937481,2017,Clemson,away,14,False,31,17,6,16,4,15,3,2,7.0,CLEM -7,12/21
400937489,2017,Clemson,home,14,False,28,14,9,19,4,16,1,3,-21.0,CLEM -21,29/41
400937493,2017,Clemson,away,-3,True,24,27,2,11,8,19,4,6,24.0,CLEM -24,22/32
400937505,2017,Clemson,home,14,False,24,10,7,17,3,15,0,4,-14.0,CLEM -14,22/33
400937510,2017,Clemson,away,7,True,38,31,7,16,3,13,0,1,9.5,CLEM -9.5,20/38
400937516,2017,Clemson,home,17,False,31,14,8,15,3,13,2,5,-16.5,CLEM -16.5,20/30
400937521,2017,Clemson,home,58,False,61,3,7,12,4,17,1,1,-47.5,CLEM -47.5,31/41
400933937,2017,Clemson,away,24,False,34,10,7,16,6,15,1,1,13.5,CLEM -13.5,25/38
400955155,2017,Clemson,home,35,False,38,3,9,18,3,16,4,4,-12.5,CLEM -12.5,25/34
401013088,2018,Clemson,home,41,False,48,7,5,12,5,16,2,3,-50.5,CLEM -50.5,23/35
401012270,2018,Clemson,away,2,True,28,26,4,13,6,16,1,4,12.5,CLEM -12.5,17/27
401013110,2018,Clemson,home,31,False,38,7,7,12,4,14,1,5,-32.0,CLEM -32,21/31
401013120,2018,Clemson,away,28,False,49,21,5,9,3,15,1,4,16.5,CLEM -16.5,19/30
401013131,2018,Clemson,home,4,True,27,23,5,15,3,15,4,1,-24.5,CLEM -24.5,17/29
401013140,2018,Clemson,away,60,False,63,3,5,15,5,21,2,3,20.5,CLEM -20.5,25/30
401013149,2018,Clemson,home,34,False,41,7,8,15,2,13,2,1,-18.5,CLEM -18.5,32/48
401013155,2018,Clemson,away,49,False,59,10,7,16,5,18,2,3,18.0,CLEM -18,24/44
401013162,2018,Clemson,home,61,False,77,16,7,8,6,16,0,6,-38.5,CLEM -38.5,14/20
401013169,2018,Clemson,away,20,False,27,7,5,15,3,16,1,4,17.5,CLEM -17.5,29/41
401013176,2018,Clemson,home,29,False,35,6,4,14,6,19,0,4,-28.0,CLEM -28,21/39
401012355,2018,Clemson,home,21,False,56,35,8,13,7,14,0,3,-26.0,CLEM -26,27/37
401056697,2018,Clemson,away,32,False,42,10,4,12,3,17,1,2,28.0,CLEM -28,12/24
401032079,2018,Clemson,home,27,False,30,3,9,18,5,17,3,6,-10.5,CLEM -10.5,27/41
401111653,2019,Clemson,home,38,False,52,14,6,12,5,16,0,4,-36.5,CLEM -36.5,18/30
401110784,2019,Clemson,home,14,False,24,10,3,9,6,16,2,2,-16.0,CLEM -16,24/35
401112449,2019,Clemson,away,35,False,41,6,5,14,4,19,0,8,28.0,CLEM -28,23/42
401112456,2019,Clemson,home,42,False,52,10,5,9,4,14,1,2,-41.5,CLEM -41.5,17/25
401112467,2019,Clemson,away,1,True,21,20,8,15,7,17,1,3,27.5,CLEM -27.5,18/30
401112479,2019,Clemson,home,31,False,45,14,5,16,2,13,0,3,-26.5,CLEM -26.5,24/38
401112485,2019,Clemson,away,35,False,45,10,5,11,5,14,1,6,24.5,CLEM -24.5,22/33
401112490,2019,Clemson,home,52,False,59,7,7,13,2,15,1,2,-35.0,CLEM -35,25/36
401112496,2019,Clemson,home,45,False,59,14,4,8,5,15,0,0,-48.5,CLEM -48.5,19/27
401112503,2019,Clemson,away,45,False,55,10,4,12,4,13,1,2,35.0,CLEM -35,25/36
401112508,2019,Clemson,home,49,False,52,3,4,11,2,13,3,2,-34.5,CLEM -34.5,26/35
401110870,2019,Clemson,away,35,False,38,3,12,17,5,15,1,2,27.5,CLEM -27.5,28/43
401132975,2019,Clemson,home,45,False,62,17,6,9,10,18,2,2,-29.0,CLEM -29,21/29
401135295,2019,Clemson,away,-17,False,25,42,1,11,4,14,2,5,-4.5,LSU -4.5,18/37
401234562,2020,Clemson,away,24,False,37,13,8,15,5,17,2,6,34.5,CLEM -34.5,26/36
401237492,2020,Clemson,home,49,False,49,0,8,14,3,16,1,4,-50.5,CLEM -50.5,19/27
401234598,2020,Clemson,home,18,False,41,23,8,15,6,16,2,3,-28.0,CLEM -28,26/39
401234604,2020,Clemson,home,25,False,42,17,8,17,4,15,1,5,-14.5,CLEM -14.5,29/44
401234610,2020,Clemson,away,66,False,73,7,9,17,2,14,2,5,26.5,CLEM -26.5,33/49
401234618,2020,Clemson,home,26,False,47,21,8,17,4,13,1,1,-47.5,CLEM -47.5,29/47
401234624,2020,Clemson,home,6,True,34,28,7,16,4,11,1,3,-26.5,CLEM -26.5,30/43
